#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Elapsed Time (s)"
1000,-35591.22632067939,299.9467781152557,26.689923834982327,0.994185581114655,0,0.00011563301086425781
2000,-35412.82490350356,299.4968826187835,26.66810186045707,0.9949991032969977,593,0.2913544178009033
3000,-35358.32317958898,287.0511952849999,26.654576724353234,0.9955039883842554,591,0.5850682258605957
4000,-35677.78426936138,291.066038412949,26.736245166286857,0.9924631253474154,588,0.8820695877075195
5000,-35423.77940827364,302.63902245148756,26.836098806932604,0.9887702988682182,588,1.1764450073242188
6000,-35023.96672388235,307.50753622624177,27.408561558458068,0.9681185705858166,588,1.4691340923309326
7000,-35235.66455242206,304.72658165244013,27.32790651753552,0.9709758565209237,590,1.7587709426879883
8000,-35212.925415947895,302.90335862460677,27.017574422252416,0.9821287811807802,590,2.0499744415283203
9000,-35127.746219588036,298.98069060193785,27.194909345009393,0.9757244306702292,591,2.3386402130126953
10000,-35138.29926344694,294.9358876428154,27.243568031117405,0.9739817268971525,591,2.630913257598877
11000,-35160.18450225854,301.57809648554644,27.648987162946753,0.9597001612177603,591,2.9224958419799805
12000,-35343.99640644872,298.37912025361055,27.370413303296147,0.9694679120754188,592,3.2134811878204346
13000,-35576.46647456502,301.5190549754328,26.958404680327604,0.9842844097206915,592,3.500767469406128
14000,-35847.20022073387,291.95120512718665,26.925142451771652,0.9855003547452661,594,3.784728527069092
15000,-35471.65940116728,302.8334335298381,26.997601999780233,0.9828553453748886,594,4.074223756790161
16000,-35615.45803982688,292.6407318702293,26.712150385743048,0.9933583427244421,593,4.367738962173462
17000,-35304.46685586384,299.8486528089672,27.176883086417824,0.9763716226548818,594,4.652675628662109
18000,-35305.03866040425,301.1761836781733,27.09411690426063,0.979354209312322,595,4.938312292098999
19000,-35143.37372612558,303.74690370066713,27.36526713489557,0.9696502251188069,595,5.2267985343933105
20000,-35804.73200041232,295.5005787341749,26.807190577718504,0.9898365649641341,595,5.514459848403931
21000,-35291.36777527437,303.36643992242927,27.358719458808284,0.9698822884506307,596,5.799397945404053
22000,-35149.266470532435,296.46426476812474,27.002473004465042,0.982678047058878,596,6.089798212051392
23000,-35432.12450611326,296.4886570326679,27.13204988788354,0.9779849862961332,596,6.383188247680664
24000,-35646.4769696658,297.7892922889297,27.216716848178788,0.9749426275698408,596,6.672245025634766
25000,-35447.00688390422,305.89161240489017,27.380119846528384,0.9691242254059093,596,6.955308437347412
26000,-35254.273499527,296.11235132095516,27.086350473468183,0.9796350181534895,596,7.244952201843262
27000,-35611.87217061142,302.1332858198598,26.79818336545952,0.9901692616966234,596,7.532500505447388
28000,-35649.79817715249,301.8239874631043,26.524036124325306,1.0004034572043377,597,7.8198957443237305
29000,-35483.75995512259,294.934877691613,26.733583133602497,0.9925619512049331,597,8.110302448272705
30000,-35396.44795433534,306.17175474701014,26.969372454774543,0.9838841256793941,597,8.395553588867188
31000,-35039.57659272619,312.1033639255464,27.080956054301964,0.9798301575683327,597,8.680377960205078
32000,-35350.85207396752,308.0655170907293,27.035981645509626,0.9814601069680376,597,8.971229076385498
33000,-35442.40396971055,300.65689953876796,26.812427540738167,0.9896432315750423,597,9.255082845687866
34000,-35369.586420059415,298.1090690820748,27.105727423159426,0.978934710865432,598,9.542834997177124
35000,-35590.057320033084,296.32497394847314,27.16140537302018,0.97692800035101,598,9.831332445144653
36000,-35158.55064350304,311.6163747475497,26.612813765904935,0.9970662129602702,598,10.119709014892578
37000,-35162.41319818118,305.5799092615579,27.252368235220274,0.9736672133871639,598,10.403413534164429
38000,-35474.8055216903,305.6339230849595,27.08320138473531,0.9797489248351322,598,10.68745493888855
39000,-35402.52049353178,309.5374209281977,26.73166002443993,0.9926333573570775,598,10.975990056991577
40000,-35165.315339161294,311.5101800940526,27.131954379449567,0.9779884289458287,599,11.259288311004639
41000,-35549.56643300439,302.6933296319032,26.643163641015956,0.9959304306091767,599,11.54820203781128
42000,-35634.941350318935,304.9185732470695,26.87872456006238,0.9872022527889694,599,11.834933042526245
43000,-35449.55425261392,296.6758098850686,27.536819453607347,0.9636093769831398,599,12.119332790374756
44000,-35540.4586527027,299.0615124254304,27.32598091907341,0.9710442789362653,599,12.409932851791382
45000,-35146.93675255182,303.4592872645676,27.054869825220727,0.9807749070391729,599,12.695728778839111
46000,-35576.47438939408,303.2323617589538,27.260699364468543,0.9733696514174183,599,12.986006021499634
47000,-35538.158521863756,303.0589453207865,27.092620782698592,0.9794082916752344,598,13.283116102218628
48000,-35664.133070694974,297.47029240068247,27.095031164037152,0.9793211632473398,598,13.571555137634277
49000,-35563.929100169385,297.5587640892885,27.028287656614637,0.981739493633587,598,13.85913348197937
50000,-35466.61908234129,297.40677994455075,26.670104491794525,0.9949243898145058,598,14.148807525634766
51000,-35435.01553442426,316.91058593171914,27.066212465995957,0.9803638935859282,597,14.481416702270508
52000,-35270.81782366613,308.0474809982852,26.941430464284515,0.9849045496290232,597,14.771254539489746
53000,-35217.757178142434,307.08393995388275,27.25185884374659,0.9736854131650047,597,15.057408094406128
54000,-35139.67367154252,292.647711691291,27.037057706359786,0.9814210453656781,597,15.343416213989258
55000,-35588.583379135795,301.89095110356516,27.269621843984382,0.9730511698914992,597,15.632911443710327
56000,-35686.677123709895,290.2976665768984,27.10789933566469,0.9788562776193129,597,15.921171426773071
57000,-35546.03023247671,301.85679959782954,27.073517375704785,0.9800993742172381,597,16.21398115158081
58000,-35194.27880116494,293.94241328149644,27.34133102516172,0.9704991104262026,597,16.498993158340454
59000,-35425.52188133367,302.70980545882395,27.060570716648307,0.9805682857037076,597,16.78580641746521
60000,-35510.47189265351,298.99734195544806,27.137108002169892,0.977802698639297,597,17.07425546646118
61000,-35727.85476141255,300.7617140670251,26.750534552293754,0.9919329793547071,597,17.359872341156006
62000,-35687.42261006736,304.65479924723957,27.036378727191998,0.9814456923219643,597,17.6434063911438
63000,-35327.18484110456,303.08334695319166,27.06142641546203,0.9805372795362586,597,17.93243956565857
64000,-35355.77764512225,305.6875203337156,26.994554826230758,0.9829662911130445,598,18.219411373138428
65000,-35433.53191400135,296.0690647015431,27.146850649989243,0.9774517781051812,598,18.50226092338562
66000,-35450.413725658065,294.8375281475653,27.027019432126608,0.9817855610910001,598,18.789313554763794
67000,-35474.97378907935,312.0680784911838,26.712696008789397,0.9933380527767374,598,19.08254623413086
68000,-35482.63753536946,308.0044665043066,27.005599993388227,0.9825642623857376,598,19.370120763778687
69000,-35503.22954922698,294.9789014003395,26.994131260835655,0.9829817148546514,598,19.659204959869385
70000,-35734.35797725894,295.98531660324824,26.91162389881449,0.9859954024906201,598,19.947969913482666
71000,-35653.262585260745,300.32601389246025,26.879353707097543,0.9871791460068193,598,20.235504627227783
72000,-35322.83599930387,284.717504110131,27.379055575621397,0.9691618969287823,598,20.51950979232788
73000,-35707.27939477966,294.5417964885953,27.224381702877665,0.974668138559893,598,20.805654287338257
74000,-35594.52582122049,301.81257019216895,26.619343422702592,0.9968216351706611,598,21.09321141242981
75000,-34995.64600049635,302.93847231056935,27.105666077057922,0.9789369264106235,598,21.383485555648804
76000,-34897.56594525844,302.34805543698155,27.10940680938315,0.9788018463245586,598,21.66869354248047
77000,-35042.80101204951,304.45478371044834,27.29496495712555,0.9721477012140547,598,21.953068494796753
78000,-35449.84496895387,298.62987254719036,26.75190946977589,0.9918819988444763,598,22.23797631263733
79000,-35412.25213128626,303.37514182932296,27.086684105484796,0.9796229517962575,598,22.525395393371582
80000,-35480.31337663383,300.5302273684574,26.943405817807665,0.9848323414351061,599,22.809051275253296
81000,-35645.793698447014,299.5535042352552,26.645550341005517,0.9958412229509405,599,23.095380544662476
82000,-35439.582736987446,298.4277592990907,26.437452966794478,1.0036797974114788,599,23.37955594062805
83000,-35580.00398838992,306.9694208815706,26.93773292562471,0.9850397400200825,599,23.667216300964355
84000,-35281.589184309756,298.32712414145556,26.82700842486245,0.9891053455366349,599,23.953254222869873
