#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Elapsed Time (s)"
1000,-35400.87878945834,296.46262331397895,26.94972299763467,0.9846014907135294,0,0.00064849853515625
2000,-35837.15562528235,294.778445025046,27.03149225600995,0.9816231078359454,1.16e+03,0.1488945484161377
3000,-35544.98271855901,305.8237809488399,27.04442894831301,0.9811535487956008,1.27e+03,0.2714676856994629
4000,-35832.46307042756,291.4091015306532,26.653745118398195,0.9955350484488478,1.34e+03,0.38657617568969727
5000,-35463.377993692004,294.45224272372644,26.842829156415526,0.9885223827625447,1.35e+03,0.5137429237365723
6000,-35504.19679818215,304.8730066686826,26.69261169985401,0.9940854696482515,1.37e+03,0.6305091381072998
7000,-35664.44087402549,299.26913762272943,26.518848346439153,1.0005991621936616,1.38e+03,0.7538611888885498
8000,-35678.84496774431,308.15315692207594,26.827934290138007,0.9890712102847962,1.38e+03,0.8763866424560547
9000,-35660.594451615616,304.03039111865763,26.93555897443082,0.9851192419276122,1.38e+03,1.0036795139312744
10000,-35470.878181006614,295.76497033358623,27.415980298896248,0.9678565985421304,1.38e+03,1.1280217170715332
11000,-35394.509799126274,297.4297736918674,26.474786574141966,1.00226445125357,1.38e+03,1.255303144454956
12000,-35794.14980703092,295.2047619096428,26.62212229304009,0.9967175849359255,1.38e+03,1.38055419921875
13000,-35777.37373901557,300.36968115180684,26.681847621495734,0.9944865068643359,1.38e+03,1.5065574645996094
14000,-35325.52751151452,294.60364798283746,27.054128335830665,0.9808017877495244,1.38e+03,1.6296021938323975
15000,-35420.855793419585,297.19684964936596,27.371198653969785,0.9694400955268108,1.38e+03,1.7522900104522705
16000,-35524.513450017694,293.00340737359966,27.180014486904145,0.9762591352029165,1.38e+03,1.8760571479797363
17000,-35611.70651640635,300.42601816378885,26.552239368427447,0.9993408491691862,1.39e+03,1.9937760829925537
18000,-35435.96135137859,297.9057990685986,26.854579488476602,0.9880898507151801,1.38e+03,2.1255571842193604
19000,-35310.8320829749,306.1365070512689,26.93454172172571,0.985156447506384,1.38e+03,2.249333620071411
20000,-35544.46449204424,290.8116695157459,27.059762959261327,0.980597556517255,1.38e+03,2.374607563018799
21000,-35462.945183752454,307.49422087560475,27.188877145908656,0.9759409075773727,1.38e+03,2.5010764598846436
22000,-35541.12684499749,304.6171502777567,26.728813186380897,0.9927390809595691,1.39e+03,2.618253469467163
23000,-35339.470687530906,293.154695546893,27.165406264364634,0.9767841194628422,1.39e+03,2.7423367500305176
24000,-35456.32000852327,287.01789777034776,27.27262736341446,0.9729439369447574,1.39e+03,2.868344306945801
25000,-35742.110508251266,302.12978270111864,26.94553955799426,0.9847543553795864,1.38e+03,2.9953269958496094
26000,-35442.3608038075,300.7820315510616,26.95261181645557,0.9844959597417324,1.38e+03,3.1192777156829834
27000,-35536.389070278645,287.18322929225707,26.940439812596846,0.9849407664599683,1.38e+03,3.2492237091064453
28000,-35475.1851411348,293.01470320503324,26.69557415335901,0.9939751542841048,1.38e+03,3.3778398036956787
29000,-35629.2508853779,301.6118235937537,26.76993439841082,0.9912141375797694,1.38e+03,3.5055646896362305
30000,-35306.95701568489,306.16404802575585,27.510176742933666,0.9645426012976657,1.38e+03,3.6216094493865967
31000,-35702.98425567421,293.14188223886725,26.71471896754109,0.9932628327487935,1.39e+03,3.7372889518737793
32000,-35572.0441911075,302.09367530395076,26.91804615992111,0.9857601580792278,1.39e+03,3.8546061515808105
33000,-35563.142808770965,299.5597817019913,27.029727187882997,0.9816872088033094,1.39e+03,3.975252628326416
34000,-35621.39459133806,300.08028793583384,27.092616241131775,0.9794084558545871,1.39e+03,4.100810289382935
35000,-35727.310417105706,288.2468261238414,27.111672377586213,0.9787200534233589,1.39e+03,4.220801830291748
36000,-35423.23127268732,296.09386593476864,26.893497632089847,0.9866599652001387,1.39e+03,4.348793268203735
37000,-35427.94158630891,302.4659124206801,27.050061944690366,0.9809492300625309,1.39e+03,4.472326993942261
38000,-35542.685847408924,310.6620539455644,27.048009448028033,0.9810236678885192,1.39e+03,4.599323749542236
39000,-35308.67752947615,308.23790034674124,26.857132748239533,0.9879959147734085,1.39e+03,4.722585439682007
40000,-35631.72719284272,313.6110855031403,26.437586450404382,1.0036747298232254,1.39e+03,4.8641979694366455
