
[🚀 模拟] 启动 PME_Baseline ...
    [进度   50000/1250000] 💾 DCD:   1563.4 KB
    [进度  100000/1250000] 💾 DCD:   3126.4 KB
    [进度  150000/1250000] 💾 DCD:   4689.5 KB
    [进度  200000/1250000] 💾 DCD:   6252.6 KB
    [进度  250000/1250000] 💾 DCD:   7815.7 KB
    [进度  300000/1250000] 💾 DCD:   9378.8 KB
    [进度  350000/1250000] 💾 DCD:  10941.9 KB
    [进度  400000/1250000] 💾 DCD:  12505.0 KB
    [进度  450000/1250000] 💾 DCD:  14068.0 KB
    [进度  500000/1250000] 💾 DCD:  15631.1 KB
    [进度  550000/1250000] 💾 DCD:  17194.2 KB
    [进度  600000/1250000] 💾 DCD:  18757.3 KB
    [进度  650000/1250000] 💾 DCD:  20320.4 KB
    [进度  700000/1250000] 💾 DCD:  21883.5 KB
    [进度  750000/1250000] 💾 DCD:  23446.6 KB
    [进度  800000/1250000] 💾 DCD:  25009.6 KB
    [进度  850000/1250000] 💾 DCD:  26572.7 KB
    [进度  900000/1250000] 💾 DCD:  28135.8 KB
    [进度  950000/1250000] 💾 DCD:  29698.9 KB
    [进度 1000000/1250000] 💾 DCD:  31262.0 KB
    [进度 1050000/1250000] 💾 DCD:  32825.1 KB
    [进度 1100000/1250000] 💾 DCD:  34388.2 KB
    [进度 1150000/1250000] 💾 DCD:  35951.2 KB
    [进度 1200000/1250000] 💾 DCD:  37514.3 KB
    [进度 1250000/1250000] 💾 DCD:  39077.4 KB
  -> 性能统计 [PME_Baseline] : 21.201 Matom*steps/s, 1376.740 ns/day (atoms=2661, steps=1250000, wall=156.9s)

[🚀 模拟] 启动 CWLD_LIPS ...
    [进度   50000/1250000] 💾 DCD:   1563.4 KB
    [进度  100000/1250000] 💾 DCD:   3126.4 KB
    [进度  150000/1250000] 💾 DCD:   4689.5 KB
    [进度  200000/1250000] 💾 DCD:   6252.6 KB
    [进度  250000/1250000] 💾 DCD:   7815.7 KB
    [进度  300000/1250000] 💾 DCD:   9378.8 KB
    [进度  350000/1250000] 💾 DCD:  10941.9 KB
    [进度  400000/1250000] 💾 DCD:  12505.0 KB
    [进度  450000/1250000] 💾 DCD:  14068.0 KB
    [进度  500000/1250000] 💾 DCD:  15631.1 KB
    [进度  550000/1250000] 💾 DCD:  17194.2 KB
    [进度  600000/1250000] 💾 DCD:  18757.3 KB
    [进度  650000/1250000] 💾 DCD:  20320.4 KB
    [进度  700000/1250000] 💾 DCD:  21883.5 KB
    [进度  750000/1250000] 💾 DCD:  23446.6 KB
    [进度  800000/1250000] 💾 DCD:  25009.6 KB
    [进度  850000/1250000] 💾 DCD:  26572.7 KB
    [进度  900000/1250000] 💾 DCD:  28135.8 KB
    [进度  950000/1250000] 💾 DCD:  29698.9 KB
    [进度 1000000/1250000] 💾 DCD:  31262.0 KB
    [进度 1050000/1250000] 💾 DCD:  32825.1 KB
    [进度 1100000/1250000] 💾 DCD:  34388.2 KB
    [进度 1150000/1250000] 💾 DCD:  35951.2 KB
    [进度 1200000/1250000] 💾 DCD:  37514.3 KB
    [进度 1250000/1250000] 💾 DCD:  39077.4 KB
  -> 性能统计 [CWLD_LIPS] : 9.129 Matom*steps/s, 592.835 ns/day (atoms=2661, steps=1250000, wall=364.4s)
