group,r_nm,g_r
PME,0.10500000000000001,0.0
PME,0.115,0.0
PME,0.125,0.0
PME,0.135,0.0
PME,0.14500000000000002,0.0
PME,0.15500000000000003,0.0
PME,0.165,0.0
PME,0.175,0.0
PME,0.185,0.0
PME,0.195,0.0
PME,0.20500000000000002,0.0
PME,0.21500000000000002,0.0
PME,0.225,0.0
PME,0.23500000000000001,0.2988748032955548
PME,0.245,1.4848817128972647
PME,0.255,1.0999593606337863
PME,0.265,0.40740782393858893
PME,0.275,0.17460927247623953
PME,0.28500000000000003,0.027095365835630405
PME,0.29500000000000004,0.02528969993926894
PME,0.30500000000000005,0.01182934549291145
PME,0.315,0.011090259748308923
PME,0.325,0.0
PME,0.33499999999999996,0.0
PME,0.345,0.018491012753131163
PME,0.355,0.008732002980882204
PME,0.365,0.024780362725080562
PME,0.375,0.05477836522754427
PME,0.385,0.08909117140737308
PME,0.395,0.07758443409055149
PME,0.405,0.1140554675070447
PME,0.41500000000000004,0.1853019924232153
PME,0.42500000000000004,0.20714779686368912
PME,0.43500000000000005,0.3489417291250546
PME,0.44500000000000006,0.2889777091528723
PME,0.455,0.3508350371707061
PME,0.46499999999999997,0.3511767420501586
PME,0.475,0.375566428105349
PME,0.485,0.3134550260929499
PME,0.495,0.19761813956080634
PME,0.505,0.2589128475026709
PME,0.515,0.1950154648389642
PME,0.525,0.21560623734655296
PME,0.535,0.19993205660617358
PME,0.545,0.19266261587669278
PME,0.555,0.23580093235225996
PME,0.5650000000000001,0.2102911036351316
PME,0.575,0.22634013735343161
PME,0.585,0.2283154701685796
PME,0.595,0.22692273220621842
Full_CWLD_aq0p5,0.10500000000000001,0.0
Full_CWLD_aq0p5,0.115,0.0
Full_CWLD_aq0p5,0.125,0.0
Full_CWLD_aq0p5,0.135,0.0
Full_CWLD_aq0p5,0.14500000000000002,0.0
Full_CWLD_aq0p5,0.15500000000000003,0.0
Full_CWLD_aq0p5,0.165,0.0
Full_CWLD_aq0p5,0.175,0.0
Full_CWLD_aq0p5,0.185,0.0
Full_CWLD_aq0p5,0.195,0.0
Full_CWLD_aq0p5,0.20500000000000002,0.0
Full_CWLD_aq0p5,0.21500000000000002,0.0
Full_CWLD_aq0p5,0.225,0.021522401338687526
Full_CWLD_aq0p5,0.23500000000000001,0.7891980116708831
Full_CWLD_aq0p5,0.245,1.5792614681352466
Full_CWLD_aq0p5,0.255,1.122705972036005
Full_CWLD_aq0p5,0.265,0.2482583968369538
Full_CWLD_aq0p5,0.275,0.043225025518025116
Full_CWLD_aq0p5,0.28500000000000003,0.0
Full_CWLD_aq0p5,0.29500000000000004,0.0
Full_CWLD_aq0p5,0.30500000000000005,0.011713553433703533
Full_CWLD_aq0p5,0.315,0.010981702261829483
Full_CWLD_aq0p5,0.325,0.0
Full_CWLD_aq0p5,0.33499999999999996,0.0
Full_CWLD_aq0p5,0.345,0.0
Full_CWLD_aq0p5,0.355,0.025939588177836276
Full_CWLD_aq0p5,0.365,0.008179266358135194
Full_CWLD_aq0p5,0.375,0.06973992621502652
Full_CWLD_aq0p5,0.385,0.1249770563905843
Full_CWLD_aq0p5,0.395,0.1326977195120401
Full_CWLD_aq0p5,0.405,0.11958250302832665
Full_CWLD_aq0p5,0.41500000000000004,0.22145122259944303
Full_CWLD_aq0p5,0.42500000000000004,0.2714825140258323
Full_CWLD_aq0p5,0.43500000000000005,0.33976732964144984
Full_CWLD_aq0p5,0.44500000000000006,0.37419489632649605
Full_CWLD_aq0p5,0.455,0.35266452285336797
Full_CWLD_aq0p5,0.46499999999999997,0.45861261209271426
Full_CWLD_aq0p5,0.475,0.3139332687509699
Full_CWLD_aq0p5,0.485,0.34281522529070557
Full_CWLD_aq0p5,0.495,0.26239411377697097
Full_CWLD_aq0p5,0.505,0.24355954451804715
Full_CWLD_aq0p5,0.515,0.21775844722555232
Full_CWLD_aq0p5,0.525,0.19372763986453656
Full_CWLD_aq0p5,0.535,0.2588904016624794
Full_CWLD_aq0p5,0.545,0.12840741411416445
Full_CWLD_aq0p5,0.555,0.1521240870294399
Full_CWLD_aq0p5,0.5650000000000001,0.21505996041645414
Full_CWLD_aq0p5,0.575,0.2241245971444436
Full_CWLD_aq0p5,0.585,0.24518599666668983
Full_CWLD_aq0p5,0.595,0.22162338664999348
Pure_Density_aq0,0.10500000000000001,0.0
Pure_Density_aq0,0.115,0.0
Pure_Density_aq0,0.125,0.0
Pure_Density_aq0,0.135,0.0
Pure_Density_aq0,0.14500000000000002,0.0
Pure_Density_aq0,0.15500000000000003,0.0
Pure_Density_aq0,0.165,0.0
Pure_Density_aq0,0.175,0.0
Pure_Density_aq0,0.185,0.0
Pure_Density_aq0,0.195,0.0
Pure_Density_aq0,0.20500000000000002,0.0
Pure_Density_aq0,0.21500000000000002,0.0
Pure_Density_aq0,0.225,0.0
Pure_Density_aq0,0.23500000000000001,0.5157987372846761
Pure_Density_aq0,0.245,1.3141599229703835
Pure_Density_aq0,0.255,0.6234101798719832
Pure_Density_aq0,0.265,0.18721737235165758
Pure_Density_aq0,0.275,0.08692529826904852
Pure_Density_aq0,0.28500000000000003,0.04046645502102406
Pure_Density_aq0,0.29500000000000004,0.012589908194336205
Pure_Density_aq0,0.30500000000000005,0.011777947078255852
Pure_Density_aq0,0.315,0.0110420726554961
Pure_Density_aq0,0.325,0.0
Pure_Density_aq0,0.33499999999999996,0.00976306810080547
Pure_Density_aq0,0.345,0.0
Pure_Density_aq0,0.355,0.017388124990961037
Pure_Density_aq0,0.365,0.032896922987652635
Pure_Density_aq0,0.375,0.04674887456090804
Pure_Density_aq0,0.385,0.05174404139147365
Pure_Density_aq0,0.395,0.04915739202475598
Pure_Density_aq0,0.405,0.13359987927417977
Pure_Density_aq0,0.41500000000000004,0.1526870538203764
Pure_Density_aq0,0.42500000000000004,0.2244460714025168
Pure_Density_aq0,0.43500000000000005,0.33005430101082844
Pure_Density_aq0,0.44500000000000006,0.2655896337619543
Pure_Density_aq0,0.455,0.3546032474307871
Pure_Density_aq0,0.46499999999999997,0.36992049816017664
Pure_Density_aq0,0.475,0.36422200800057514
Pure_Density_aq0,0.485,0.3679903320585996
Pure_Density_aq0,0.495,0.32644188158958853
Pure_Density_aq0,0.505,0.27927019594847313
Pure_Density_aq0,0.515,0.1982993608369703
Pure_Density_aq0,0.525,0.13913759346225865
