group,force,energy_kj_mol
PME,0:HarmonicBondForce,2135.361678467354
PME,1:NonbondedForce,-455879.6221139567
PME,2:PeriodicTorsionForce,4160.8392545395045
PME,3:CMAPTorsionForce,752.1850488230082
PME,4:CMMotionRemover,0.0
PME,5:HarmonicAngleForce,5665.309734697448
PME,6:CustomExternalForce,160463.37372207086
PME,7:MonteCarloBarostat,0.0
Full_CWLD_aq0p5,0:HarmonicBondForce,2144.42889859652
Full_CWLD_aq0p5,1:NonbondedForce,-438859.0363974926
Full_CWLD_aq0p5,2:PeriodicTorsionForce,4038.855857786368
Full_CWLD_aq0p5,3:CMAPTorsionForce,713.3074771796486
Full_CWLD_aq0p5,4:CMMotionRemover,0.0
Full_CWLD_aq0p5,5:HarmonicAngleForce,5740.4827712723445
Full_CWLD_aq0p5,6:CustomExternalForce,148938.4341948867
Full_CWLD_aq0p5,7:CustomGBForce,3645.3601104967356
Full_CWLD_aq0p5,8:MonteCarloBarostat,0.0
Pure_Density_aq0,0:HarmonicBondForce,2148.762993708675
Pure_Density_aq0,1:NonbondedForce,-439297.38365486753
Pure_Density_aq0,2:PeriodicTorsionForce,4105.150973454975
Pure_Density_aq0,3:CMAPTorsionForce,744.5486850165742
Pure_Density_aq0,4:CMMotionRemover,0.0
Pure_Density_aq0,5:HarmonicAngleForce,5505.156978496078
Pure_Density_aq0,6:CustomExternalForce,205464.1589344359
Pure_Density_aq0,7:CustomGBForce,5348.311510767939
Pure_Density_aq0,8:MonteCarloBarostat,0.0
