Step,Interval Speed (ns/day)
5000,0.000
10000,58.995
15000,55.718
20000,52.753
25000,50.333
30000,38.960
35000,44.136
40000,42.613
45000,41.251
50000,40.139
55000,34.423
60000,39.285
65000,38.468
70000,37.683
75000,37.075
80000,36.503
85000,36.083
90000,35.606
95000,35.129
100000,34.782
105000,34.650
110000,34.299
115000,34.124
120000,33.807
125000,33.655
130000,33.356
135000,33.227
140000,33.128
145000,32.989
150000,32.836
155000,32.736
160000,32.586
165000,32.465
170000,32.324
175000,32.257
180000,32.169
185000,32.028
190000,31.987
195000,31.923
200000,31.836
205000,31.797
210000,31.696
215000,31.582
220000,31.493
225000,31.520
230000,31.447
235000,31.426
240000,31.374
245000,31.408
250000,31.390
255000,31.372
260000,31.305
265000,31.261
270000,31.215
275000,31.209
280000,31.180
285000,31.178
290000,31.132
295000,31.172
300000,31.100
