#"Step","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,301.41086363928906,333.02333843562724,0.9636071564315247,0
10000,302.2455888320585,333.02333843562724,0.9636071564315247,439
15000,299.1750212038262,333.02333843562724,0.9636071564315247,438
20000,299.5581460635351,333.02333843562724,0.9636071564315247,438
25000,300.1660962784879,333.02333843562724,0.9636071564315247,438
30000,298.27386469514965,324.5429132807946,0.9887865642521119,416
35000,302.55446781493964,319.2325901790953,1.005234684827308,414
40000,298.843218455326,316.9026730161416,1.0126253247442398,413
45000,300.5998312808543,315.5072491681163,1.0171039588516595,411
50000,297.96947475836214,314.39944985359523,1.0206877662308937,410
55000,300.9023376894103,314.39944985359523,1.0206877662308937,407
60000,298.83834981297116,314.39944985359523,1.0206877662308937,408
65000,301.83246393672164,314.39944985359523,1.0206877662308937,409
70000,303.18165625773526,314.39944985359523,1.0206877662308937,411
75000,299.2281459034171,314.39944985359523,1.0206877662308937,412
80000,298.53209987051366,314.39944985359523,1.0206877662308937,412
85000,299.9730039619227,314.39944985359523,1.0206877662308937,413
90000,297.01446353415616,314.39944985359523,1.0206877662308937,414
95000,297.7922950550165,314.39944985359523,1.0206877662308937,414
100000,299.42980816821785,314.39944985359523,1.0206877662308937,415
105000,299.6330323738085,314.39944985359523,1.0206877662308937,415
110000,300.83800535222264,314.39944985359523,1.0206877662308937,416
115000,303.3620253439977,314.39944985359523,1.0206877662308937,416
120000,299.60782987289326,314.39944985359523,1.0206877662308937,416
125000,298.67501324437404,314.39944985359523,1.0206877662308937,416
130000,300.6588878484254,314.39944985359523,1.0206877662308937,417
135000,299.5435850641705,314.39944985359523,1.0206877662308937,417
140000,298.42399080169105,314.39944985359523,1.0206877662308937,417
145000,304.2793669809463,314.39944985359523,1.0206877662308937,417
150000,298.1207379684081,314.39944985359523,1.0206877662308937,417
155000,301.45903642930296,314.39944985359523,1.0206877662308937,417
160000,302.4049392893409,314.39944985359523,1.0206877662308937,417
165000,300.77282138283726,314.39944985359523,1.0206877662308937,418
170000,299.76242183570776,314.39944985359523,1.0206877662308937,418
175000,297.71337688513125,314.39944985359523,1.0206877662308937,418
180000,301.8754563081043,314.39944985359523,1.0206877662308937,418
185000,301.24351250741233,314.39944985359523,1.0206877662308937,418
190000,301.1778191746161,314.39944985359523,1.0206877662308937,418
195000,301.62642760609583,314.39944985359523,1.0206877662308937,418
200000,301.1360770685756,314.39944985359523,1.0206877662308937,418
205000,302.274013526681,314.39944985359523,1.0206877662308937,418
210000,298.33988142818134,314.39944985359523,1.0206877662308937,418
215000,300.45707175199715,314.39944985359523,1.0206877662308937,418
220000,300.37863424830545,314.39944985359523,1.0206877662308937,418
225000,300.5726409094054,314.39944985359523,1.0206877662308937,418
230000,297.2286185011714,314.39944985359523,1.0206877662308937,418
235000,301.25703778437986,314.39944985359523,1.0206877662308937,418
240000,299.63357616305365,314.39944985359523,1.0206877662308937,418
245000,296.5990778893426,314.39944985359523,1.0206877662308937,418
250000,298.7068621020674,314.39944985359523,1.0206877662308937,418
255000,297.426847741833,314.39944985359523,1.0206877662308937,418
260000,300.209556242291,314.39944985359523,1.0206877662308937,418
265000,299.2069216213804,314.39944985359523,1.0206877662308937,418
270000,301.1083751857484,314.39944985359523,1.0206877662308937,418
275000,300.09308536108625,314.39944985359523,1.0206877662308937,418
280000,300.8354193497583,314.39944985359523,1.0206877662308937,418
285000,300.54331492055337,314.39944985359523,1.0206877662308937,418
290000,299.9864771753832,314.39944985359523,1.0206877662308937,418
295000,300.1128509936475,314.39944985359523,1.0206877662308937,418
300000,298.9986615460298,314.39944985359523,1.0206877662308937,418
