Step,Interval Speed (ns/day)
5000,0.000
10000,439.394
15000,436.068
20000,438.808
25000,438.552
30000,347.011
35000,404.597
40000,404.826
45000,400.822
50000,399.558
55000,377.564
60000,426.172
65000,422.077
70000,427.085
75000,425.668
80000,423.586
85000,424.454
90000,424.473
95000,424.935
100000,423.377
105000,423.044
110000,422.471
115000,422.966
120000,421.631
125000,421.788
130000,421.986
135000,422.186
140000,421.708
145000,420.810
150000,419.460
155000,420.778
160000,420.600
165000,420.028
170000,420.708
175000,420.655
180000,421.176
185000,419.913
190000,419.207
195000,419.098
200000,417.819
205000,418.756
210000,419.484
215000,419.256
220000,418.355
225000,418.030
230000,417.791
235000,418.206
240000,418.694
245000,418.363
250000,418.751
255000,417.777
260000,418.156
265000,417.820
270000,418.504
275000,417.392
280000,417.549
285000,417.602
290000,417.060
295000,416.411
300000,415.937
