group,force,energy_kj_mol
PME,0:HarmonicBondForce,2149.4329058840417
PME,1:NonbondedForce,-454986.9272565432
PME,2:PeriodicTorsionForce,4084.0554357577253
PME,3:CMAPTorsionForce,750.5616304746198
PME,4:CMMotionRemover,0.0
PME,5:HarmonicAngleForce,5716.307941143751
PME,6:CustomExternalForce,240069.28123716888
PME,7:MonteCarloBarostat,0.0
CWLD_water_off_aq0p5,0:HarmonicBondForce,1934.2856180090653
CWLD_water_off_aq0p5,1:NonbondedForce,-435651.1823391994
CWLD_water_off_aq0p5,2:PeriodicTorsionForce,4015.9649030945293
CWLD_water_off_aq0p5,3:CMAPTorsionForce,788.1780696342908
CWLD_water_off_aq0p5,4:CMMotionRemover,0.0
CWLD_water_off_aq0p5,5:HarmonicAngleForce,5538.663652459109
CWLD_water_off_aq0p5,6:CustomExternalForce,352356.8282453452
CWLD_water_off_aq0p5,7:CustomGBForce,9503.27245209957
CWLD_water_off_aq0p5,8:MonteCarloBarostat,0.0
CWLD_aq0_unweighted_density,0:HarmonicBondForce,2134.083294621359
CWLD_aq0_unweighted_density,1:NonbondedForce,-437095.58255122864
CWLD_aq0_unweighted_density,2:PeriodicTorsionForce,3985.714254849461
CWLD_aq0_unweighted_density,3:CMAPTorsionForce,732.093044583691
CWLD_aq0_unweighted_density,4:CMMotionRemover,0.0
CWLD_aq0_unweighted_density,5:HarmonicAngleForce,5657.24839639778
CWLD_aq0_unweighted_density,6:CustomExternalForce,164096.44128135574
CWLD_aq0_unweighted_density,7:CustomGBForce,6494.376590975588
CWLD_aq0_unweighted_density,8:MonteCarloBarostat,0.0
CWLD_aq0p5_charge_weighted_density,0:HarmonicBondForce,2146.2153568591234
CWLD_aq0p5_charge_weighted_density,1:NonbondedForce,-437509.9271250596
CWLD_aq0p5_charge_weighted_density,2:PeriodicTorsionForce,4142.974275042611
CWLD_aq0p5_charge_weighted_density,3:CMAPTorsionForce,717.0880210015764
CWLD_aq0p5_charge_weighted_density,4:CMMotionRemover,0.0
CWLD_aq0p5_charge_weighted_density,5:HarmonicAngleForce,5736.324676304645
CWLD_aq0p5_charge_weighted_density,6:CustomExternalForce,450159.4291167776
CWLD_aq0p5_charge_weighted_density,7:CustomGBForce,7385.8949353074495
CWLD_aq0p5_charge_weighted_density,8:MonteCarloBarostat,0.0
