#"Step","Time (ps)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
5000,10.000000000000009,299.89837629736104,333.02333843562724,0.9636071564315247,0
10000,19.999999999999794,302.0138046893403,333.02333843562724,0.9636071564315247,60.5
15000,29.99999999999425,301.4894056840576,333.02333843562724,0.9636071564315247,58.5
20000,40.00000000000292,299.3633805777114,333.02333843562724,0.9636071564315247,56.7
25000,50.00000000001514,303.47972474725066,333.02333843562724,0.9636071564315247,55.2
30000,60.00000000002736,301.8582364933098,324.46181931316903,0.9890336954116421,50.9
35000,70.00000000001826,301.94425525327625,320.21451005292147,1.0021521889256444,49.8
40000,79.99999999999496,299.4447005638751,316.9077041493659,1.0126092486033054,48.7
45000,89.99999999997165,299.09122231338586,315.4645510355683,1.0172416238904334,47.7
50000,99.99999999994834,295.6918577966284,313.4704075228425,1.0237128113980067,46.7
55000,109.99999999992504,302.7684789658894,313.4704075228425,1.0237128113980067,45
60000,119.99999999990173,299.2020199743839,313.4704075228425,1.0237128113980067,44.4
65000,129.99999999989262,300.4275988153257,313.4704075228425,1.0237128113980067,43.9
70000,139.99999999994037,301.7860819788266,313.4704075228425,1.0237128113980067,43.4
75000,149.99999999998812,299.8194229323784,313.4704075228425,1.0237128113980067,42.9
80000,160.00000000003587,298.52053312144915,313.4704075228425,1.0237128113980067,42.4
85000,170.00000000008362,300.587097270801,313.4704075228425,1.0237128113980067,42
90000,180.00000000013137,300.6364594155232,313.4704075228425,1.0237128113980067,41.6
95000,190.0000000001791,301.9359672342781,313.4704075228425,1.0237128113980067,41.2
100000,200.00000000022686,299.0370033212192,313.4704075228425,1.0237128113980067,40.8
105000,210.0000000002746,300.9678476767926,313.4704075228425,1.0237128113980067,40.5
110000,220.00000000032236,300.39644485138035,313.4704075228425,1.0237128113980067,40.2
115000,230.0000000003701,300.572759075773,313.4704075228425,1.0237128113980067,39.9
120000,240.00000000041786,301.9803955595913,313.4704075228425,1.0237128113980067,39.6
125000,250.0000000004656,303.18369959907443,313.4704075228425,1.0237128113980067,39.3
130000,260.00000000051335,297.7755710402897,313.4704075228425,1.0237128113980067,39.1
135000,270.0000000005611,297.63547008005935,313.4704075228425,1.0237128113980067,38.9
140000,280.00000000060885,301.6290924955957,313.4704075228425,1.0237128113980067,38.6
145000,290.0000000006566,300.1872413761357,313.4704075228425,1.0237128113980067,38.4
150000,300.00000000070435,300.20513384780304,313.4704075228425,1.0237128113980067,38.2
155000,310.0000000007521,300.40535289981864,313.4704075228425,1.0237128113980067,38
160000,320.00000000079984,298.7340277392016,313.4704075228425,1.0237128113980067,37.8
165000,330.0000000008476,299.08658284711555,313.4704075228425,1.0237128113980067,37.6
170000,340.00000000089534,298.8218730369459,313.4704075228425,1.0237128113980067,37.5
175000,350.0000000009431,300.72701382827125,313.4704075228425,1.0237128113980067,37.3
180000,360.00000000099084,303.5601028367447,313.4704075228425,1.0237128113980067,37.2
185000,370.0000000010386,302.5058075305906,313.4704075228425,1.0237128113980067,37
190000,380.00000000108633,298.92272313737783,313.4704075228425,1.0237128113980067,36.9
195000,390.0000000011341,298.8321329074896,313.4704075228425,1.0237128113980067,36.7
200000,400.00000000118183,302.78250198375827,313.4704075228425,1.0237128113980067,36.6
205000,410.0000000012296,301.30889221584147,313.4704075228425,1.0237128113980067,36.5
210000,420.00000000127733,299.49100862112846,313.4704075228425,1.0237128113980067,36.4
215000,430.0000000013251,299.30185991051195,313.4704075228425,1.0237128113980067,36.3
220000,440.0000000013728,300.41644591779294,313.4704075228425,1.0237128113980067,36.1
225000,450.0000000014206,301.2151595175662,313.4704075228425,1.0237128113980067,36
230000,460.0000000014683,301.60380759853234,313.4704075228425,1.0237128113980067,35.9
235000,470.00000000151607,298.27202344069434,313.4704075228425,1.0237128113980067,35.8
240000,480.0000000015638,300.9255132172038,313.4704075228425,1.0237128113980067,35.8
245000,490.00000000161157,297.75218377880356,313.4704075228425,1.0237128113980067,35.7
250000,500.0000000016593,302.6766489803071,313.4704075228425,1.0237128113980067,35.6
255000,510.00000000170706,302.11548164592205,313.4704075228425,1.0237128113980067,35.5
260000,520.0000000015274,300.4718266143543,313.4704075228425,1.0237128113980067,35.4
265000,530.0000000012909,302.0333318989003,313.4704075228425,1.0237128113980067,35.3
270000,540.0000000010544,301.32597958210755,313.4704075228425,1.0237128113980067,35.3
275000,550.000000000818,298.010124331757,313.4704075228425,1.0237128113980067,35.2
280000,560.0000000005815,299.06229045845237,313.4704075228425,1.0237128113980067,35.1
285000,570.000000000345,296.06936511431803,313.4704075228425,1.0237128113980067,35.1
290000,580.0000000001086,303.83502278601435,313.4704075228425,1.0237128113980067,35
295000,589.9999999998721,299.96256321750417,313.4704075228425,1.0237128113980067,35
300000,599.9999999996356,300.77189564783106,313.4704075228425,1.0237128113980067,34.9
