metric,PME,CWLD_water_off_aq0p5,CWLD_aq0_unweighted_density,CWLD_aq0p5_charge_weighted_density,AMOEBA_2018,has_amoeba_comparison
temperature_mean_K,300.4178,300.2228,300.0674,299.9694,,False
temperature_std_K,1.7269,1.7139,1.7336,1.8087,,False
volume_mean_nm3,316.8454,317.554,317.0338,313.4186,,False
volume_std_nm3,5.2401,5.049,4.9902,6.2622,,False
density_mean_g_ml,1.0131,1.0108,1.0124,1.0243,1.0205889906719057,True
density_std_g_ml,0.0161,0.0154,0.0153,0.0194,0.0019785173947931994,True
cwld_rms_over_base_mean,,,,,,False
cwld_rms_over_base_max,,,,,,False
cwld_max_over_base_mean,,,,,,False
cwld_max_over_base_max,,,,,,False
force_norm_warning_count,,,,,,False
mean_rmsd_nm,0.2059,0.2129,0.2033,0.2106,0.19079861911900003,True
mean_protein_rmsf_nm,0.1124,0.1071,0.0997,0.1103,,False
ca_water_peak_r_nm,0.245,0.245,0.245,0.245,,False
ca_water_peak_g,1.8366,1.3069,1.8377,1.9437,,False
ca_water_coord_0p30_nm,0.9542,0.7292,0.9667,0.9208,,False
ca_protein_o_coord_0p30_nm,6.6292,6.7458,6.5792,6.6042,6.0795,True
ca_total_o_coord_0p30_nm,7.5833,7.475,7.5458,7.525,,False
ca_water_coord_0p28_nm,0.9292,0.7208,0.9583,0.9167,,False
ca_water_coord_0p32_nm,0.9625,0.7417,0.9667,0.925,,False
ca_water_coord_0p35_nm,0.975,0.75,0.9667,0.925,,False
ca_all_o_coord_0p28_nm,7.4667,7.35,7.4792,7.45,,False
ca_all_o_coord_0p32_nm,7.6458,7.5583,7.5792,7.5708,,False
ca_all_o_coord_0p35_nm,7.725,7.6625,7.6833,7.6792,,False
ca_water_first_peak_auc_0p20_0p32,0.0404,0.0314,0.0413,0.0393,,False
ca_all_o_first_peak_auc_0p20_0p32,0.3304,0.3276,0.3283,0.3238,,False
ca_carboxylate_o_coord_0p30_nm,5.1583,5.2458,5.0958,5.1375,4.599,True
ca_backbone_o_coord_0p30_nm,1.0,1.0,1.0,1.0,,False
ca_sidechain_o_coord_0p30_nm,0.4708,0.5,0.4833,0.4667,,False
ca_water_residence_tau_ps,373.7976,393.4907,558.9042,565.7906,,False
ca_water_residence_t_1e_ps,590.0,,,,,False
ca_avg_shell_waters_0p30_nm,3.8167,2.9167,3.8667,3.6833,,False
ca_near_water_QO_mean,,-0.834,-0.8431,-0.8486,,False
ca_near_water_QO_std,,0.0,0.0015,0.0016,,False
ca_near_water_dens_mean,,1.7916,1.0296,1.647,,False
ca_near_water_delta_QO_mean,,-0.0,-0.0091,-0.0146,,False
surface_water_tau_ps,113.5797,119.3957,118.9661,124.2442,,False
surface_water_t_1e_ps,60.0,60.0,70.0,70.0,,False
avg_surface_waters,479.5667,492.3333,485.1833,495.9833,,False
salt_bridge_peak_g,41.1381,37.2543,44.9247,39.2426,,False
salt_bridge_peak_r_nm,0.275,0.275,0.275,0.275,,False
protein_dipole_mean_debye,445.1932,387.4814,357.0813,378.7643,,False
protein_dipole_std_debye,45.0603,30.2395,34.0354,23.6462,,False
water_net_delta_Q_mean,,0.0,0.0008,0.0008,,False
water_net_delta_Q_abs_mean,,0.0,0.0009,0.0009,,False
water_net_delta_Q_max,,0.0,0.0049,0.0053,,False
near_Ca_water_net_delta_Q_mean,,,,,,False
solute_polar_atom_delta_Q_mean,,0.0003,0.0003,0.0003,,False
carboxylate_O_delta_Q_near_Ca_mean,,0.0011,0.0006,0.0011,,False
Ca_source_charge_mod_mean,,2.5,1.0,2.5,,False
ion_source_charge_mod_mean,,1.2327,1.0,1.2327,,False
saltbridge_source_charge_mod_mean,,0.9453,1.0,0.9453,,False
a_q2,,0.5,0.0,0.5,,False
enable_water_response,0.0,0.0,1.0,1.0,,False
enable_solute_polarization,1.0,1.0,1.0,1.0,,False
ca_total_o_coord_0p30_nm_amoeba_raw_note,,,,,24.318,True
ca_carboxylate_o_coord_0p30_nm_amoeba_raw_note,,,,,18.396,True
