group,r_nm,g_r
PME,0.10500000000000001,0.0
PME,0.115,0.0
PME,0.125,0.0
PME,0.135,0.0
PME,0.14500000000000002,0.0
PME,0.15500000000000003,0.0
PME,0.165,0.0
PME,0.175,0.0
PME,0.185,0.0
PME,0.195,0.0
PME,0.20500000000000002,0.0
PME,0.21500000000000002,0.0
PME,0.225,0.0
PME,0.23500000000000001,0.49904595682185665
PME,0.245,1.8365777911245285
PME,0.255,1.0680862425133875
PME,0.265,0.42385983981496084
PME,0.275,0.11662147560388772
PME,0.28500000000000003,0.05429095776471512
PME,0.29500000000000004,0.02533647339575077
PME,0.30500000000000005,0.011851223940577891
PME,0.315,0.011110771252318675
PME,0.325,0.0
PME,0.33499999999999996,0.00982380933120072
PME,0.345,0.018525211995604998
PME,0.355,0.0
PME,0.365,0.03310159221231194
PME,0.375,0.05487967815289607
PME,0.385,0.04462797304000815
PME,0.395,0.11305880288195728
PME,0.405,0.12098796755268225
PME,0.41500000000000004,0.23685704328849408
PME,0.42500000000000004,0.2685694232881929
PME,0.43500000000000005,0.30880193746029394
PME,0.44500000000000006,0.25053938239637624
PME,0.455,0.32485633989813795
PME,0.46499999999999997,0.356925176702742
PME,0.475,0.42023960371711233
PME,0.485,0.27653807497109356
PME,0.495,0.29247582521832716
PME,0.505,0.30262365981841377
PME,0.515,0.17874838994351738
PME,0.525,0.22800528032829903
PME,0.535,0.18104204062573365
PME,0.545,0.19673084939536387
PME,0.555,0.23265769842873343
PME,0.5650000000000001,0.1934111827311842
PME,0.575,0.1767384412705022
PME,0.585,0.22873774104303457
PME,0.595,0.23357098685259906
CWLD_water_off_aq0p5,0.10500000000000001,0.0
CWLD_water_off_aq0p5,0.115,0.0
CWLD_water_off_aq0p5,0.125,0.0
CWLD_water_off_aq0p5,0.135,0.0
CWLD_water_off_aq0p5,0.14500000000000002,0.0
CWLD_water_off_aq0p5,0.15500000000000003,0.0
CWLD_water_off_aq0p5,0.165,0.0
CWLD_water_off_aq0p5,0.175,0.0
CWLD_water_off_aq0p5,0.185,0.0
CWLD_water_off_aq0p5,0.195,0.0
CWLD_water_off_aq0p5,0.20500000000000002,0.0
CWLD_water_off_aq0p5,0.21500000000000002,0.0
CWLD_water_off_aq0p5,0.225,0.021824480828252227
CWLD_water_off_aq0p5,0.23500000000000001,0.5201786637483362
CWLD_water_off_aq0p5,0.245,1.3069119560500724
CWLD_water_off_aq0p5,0.255,0.9005758472783713
CWLD_water_off_aq0p5,0.265,0.3304124888184234
CWLD_water_off_aq0p5,0.275,0.01461057134337378
CWLD_water_off_aq0p5,0.28500000000000003,0.013603359203165837
CWLD_water_off_aq0p5,0.29500000000000004,0.012696815924211066
CWLD_water_off_aq0p5,0.30500000000000005,0.0
CWLD_water_off_aq0p5,0.315,0.033407510626249734
CWLD_water_off_aq0p5,0.325,0.0
CWLD_water_off_aq0p5,0.33499999999999996,0.009845971600271838
CWLD_water_off_aq0p5,0.345,0.009283502206136988
CWLD_water_off_aq0p5,0.355,0.0
CWLD_water_off_aq0p5,0.365,0.008294067144887455
CWLD_water_off_aq0p5,0.375,0.031430563051069074
CWLD_water_off_aq0p5,0.385,0.05218342807438861
CWLD_water_off_aq0p5,0.395,0.02124634888578194
CWLD_water_off_aq0p5,0.405,0.06063045669641065
CWLD_water_off_aq0p5,0.41500000000000004,0.17964753601455846
CWLD_water_off_aq0p5,0.42500000000000004,0.1835286199194415
CWLD_water_off_aq0p5,0.43500000000000005,0.23358383919756967
CWLD_water_off_aq0p5,0.44500000000000006,0.2957454095337659
CWLD_water_off_aq0p5,0.455,0.33626426369687257
CWLD_water_off_aq0p5,0.46499999999999997,0.32195735190708386
CWLD_water_off_aq0p5,0.475,0.3232370366310536
CWLD_water_off_aq0p5,0.485,0.24427831821765433
CWLD_water_off_aq0p5,0.495,0.29313564339239323
CWLD_water_off_aq0p5,0.505,0.25131099332514373
CWLD_water_off_aq0p5,0.515,0.2374800833923044
CWLD_water_off_aq0p5,0.525,0.1764011368529529
CWLD_water_off_aq0p5,0.535,0.1698685222588873
CWLD_water_off_aq0p5,0.545,0.2232166067430034
CWLD_water_off_aq0p5,0.555,0.16860893407330513
CWLD_water_off_aq0p5,0.5650000000000001,0.2111553272491411
CWLD_water_off_aq0p5,0.575,0.21724368530875163
CWLD_water_off_aq0p5,0.585,0.2550851781310111
CWLD_water_off_aq0p5,0.595,0.2528257505533688
CWLD_aq0_unweighted_density,0.10500000000000001,0.0
CWLD_aq0_unweighted_density,0.115,0.0
CWLD_aq0_unweighted_density,0.125,0.0
CWLD_aq0_unweighted_density,0.135,0.0
CWLD_aq0_unweighted_density,0.14500000000000002,0.0
CWLD_aq0_unweighted_density,0.15500000000000003,0.0
CWLD_aq0_unweighted_density,0.165,0.0
CWLD_aq0_unweighted_density,0.175,0.0
CWLD_aq0_unweighted_density,0.185,0.0
CWLD_aq0_unweighted_density,0.195,0.0
CWLD_aq0_unweighted_density,0.20500000000000002,0.0
CWLD_aq0_unweighted_density,0.21500000000000002,0.0
CWLD_aq0_unweighted_density,0.225,0.0
CWLD_aq0_unweighted_density,0.23500000000000001,0.7190712762613013
CWLD_aq0_unweighted_density,0.245,1.8377153198300016
CWLD_aq0_unweighted_density,0.255,1.085712038056816
CWLD_aq0_unweighted_density,0.265,0.3455811884304896
CWLD_aq0_unweighted_density,0.275,0.11669370792468303
CWLD_aq0_unweighted_density,0.28500000000000003,0.027162292088747028
CWLD_aq0_unweighted_density,0.29500000000000004,0.0
CWLD_aq0_unweighted_density,0.30500000000000005,0.0
CWLD_aq0_unweighted_density,0.315,0.0
CWLD_aq0_unweighted_density,0.325,0.0
CWLD_aq0_unweighted_density,0.33499999999999996,0.0
CWLD_aq0_unweighted_density,0.345,0.0
CWLD_aq0_unweighted_density,0.355,0.008753571253673159
CWLD_aq0_unweighted_density,0.365,0.008280523620249754
CWLD_aq0_unweighted_density,0.375,0.04706885931757035
CWLD_aq0_unweighted_density,0.385,0.059540819267170274
CWLD_aq0_unweighted_density,0.395,0.06363496607375427
CWLD_aq0_unweighted_density,0.405,0.11433718745627947
CWLD_aq0_unweighted_density,0.41500000000000004,0.15373215983033053
CWLD_aq0_unweighted_density,0.42500000000000004,0.21987471946207351
CWLD_aq0_unweighted_density,0.43500000000000005,0.27984289936350765
