指标 (Metric),PME,CWLD_water_off_aq0p5,CWLD_aq0_unweighted_density,CWLD_aq0p5_charge_weighted_density
temperature_mean_K,300.4178,300.2228,300.0674,299.9694
temperature_std_K,1.7269,1.7139,1.7336,1.8087
volume_mean_nm3,316.8454,317.5540,317.0338,313.4186
volume_std_nm3,5.2401,5.0490,4.9902,6.2622
density_mean_g_ml,1.0131,1.0108,1.0124,1.0243
density_std_g_ml,0.0161,0.0154,0.0153,0.0194
cwld_rms_over_base_mean,NaN,NaN,NaN,NaN
cwld_rms_over_base_max,NaN,NaN,NaN,NaN
cwld_max_over_base_mean,NaN,NaN,NaN,NaN
cwld_max_over_base_max,NaN,NaN,NaN,NaN
force_norm_warning_count,NaN,NaN,NaN,NaN
mean_rmsd_nm,0.2059,0.2129,0.2033,0.2106
mean_protein_rmsf_nm,0.1124,0.1071,0.0997,0.1103
ca_water_peak_r_nm,0.2450,0.2450,0.2450,0.2450
ca_water_peak_g,1.8366,1.3069,1.8377,1.9437
ca_water_coord_0p30_nm,0.9542,0.7292,0.9667,0.9208
ca_protein_o_coord_0p30_nm,6.6292,6.7458,6.5792,6.6042
ca_total_o_coord_0p30_nm,7.5833,7.4750,7.5458,7.5250
ca_water_coord_0p28_nm,0.9292,0.7208,0.9583,0.9167
ca_water_coord_0p32_nm,0.9625,0.7417,0.9667,0.9250
ca_water_coord_0p35_nm,0.9750,0.7500,0.9667,0.9250
ca_all_o_coord_0p28_nm,7.4667,7.3500,7.4792,7.4500
ca_all_o_coord_0p32_nm,7.6458,7.5583,7.5792,7.5708
ca_all_o_coord_0p35_nm,7.7250,7.6625,7.6833,7.6792
ca_water_first_peak_auc_0p20_0p32,0.0404,0.0314,0.0413,0.0393
ca_all_o_first_peak_auc_0p20_0p32,0.3304,0.3276,0.3283,0.3238
ca_carboxylate_o_coord_0p30_nm,5.1583,5.2458,5.0958,5.1375
ca_backbone_o_coord_0p30_nm,1.0000,1.0000,1.0000,1.0000
ca_sidechain_o_coord_0p30_nm,0.4708,0.5000,0.4833,0.4667
ca_water_residence_tau_ps,373.7976,393.4907,558.9042,565.7906
ca_water_residence_t_1e_ps,590.0000,NaN,NaN,NaN
ca_avg_shell_waters_0p30_nm,3.8167,2.9167,3.8667,3.6833
ca_near_water_QO_mean,NaN,-0.8340,-0.8431,-0.8486
ca_near_water_QO_std,NaN,0.0000,0.0015,0.0016
ca_near_water_dens_mean,NaN,1.7916,1.0296,1.6470
ca_near_water_delta_QO_mean,NaN,-0.0000,-0.0091,-0.0146
surface_water_tau_ps,113.5797,119.3957,118.9661,124.2442
surface_water_t_1e_ps,60.0000,60.0000,70.0000,70.0000
avg_surface_waters,479.5667,492.3333,485.1833,495.9833
salt_bridge_peak_g,41.1381,37.2543,44.9247,39.2426
salt_bridge_peak_r_nm,0.2750,0.2750,0.2750,0.2750
protein_dipole_mean_debye,445.1932,387.4814,357.0813,378.7643
protein_dipole_std_debye,45.0603,30.2395,34.0354,23.6462
water_net_delta_Q_mean,NaN,0.0000,0.0008,0.0008
water_net_delta_Q_abs_mean,NaN,0.0000,0.0009,0.0009
water_net_delta_Q_max,NaN,0.0000,0.0049,0.0053
near_Ca_water_net_delta_Q_mean,NaN,NaN,NaN,NaN
solute_polar_atom_delta_Q_mean,NaN,0.0003,0.0003,0.0003
carboxylate_O_delta_Q_near_Ca_mean,NaN,0.0011,0.0006,0.0011
Ca_source_charge_mod_mean,NaN,2.5000,1.0000,2.5000
ion_source_charge_mod_mean,NaN,1.2327,1.0000,1.2327
saltbridge_source_charge_mod_mean,NaN,0.9453,1.0000,0.9453
a_q2,NaN,0.5000,0.0000,0.5000
enable_water_response,0.0000,0.0000,1.0000,1.0000
enable_solute_polarization,1.0000,1.0000,1.0000,1.0000
